date,forecast_bps
2026-03-22 00:00:00+00:00,3016299662.6939983
2026-03-23 00:00:00+00:00,2996393713.513999
2026-03-24 00:00:00+00:00,3031963903.567998
2026-03-25 00:00:00+00:00,3061260045.595998
2026-03-26 00:00:00+00:00,2962153014.918004
2026-03-27 00:00:00+00:00,2952402415.2260046
2026-03-28 00:00:00+00:00,2871947309.678003
2026-03-29 00:00:00+00:00,2939571428.7720017
2026-03-30 00:00:00+00:00,2900555831.146004
2026-03-31 00:00:00+00:00,2932791974.174003
2026-04-01 00:00:00+00:00,2923318889.956003
2026-04-02 00:00:00+00:00,2892215719.486006
2026-04-03 00:00:00+00:00,2910073378.890003
2026-04-04 00:00:00+00:00,2869803442.7180023
